gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day,plarge_d0,plarge_d1,plarge_d2,plarge_d3,active_days,n_active_days,min_lfsr_among_active,best_day_among_active,max_abs_postmean,active_days_any,n_any_active,hit_anyday
Gene33,0.110610634,0.13282329,0.099002674,0.054392196,0.015256857,0.024149114,0.033125747,0.04087026,0.108002898906793,0.0153688914579496,4.19925321824352e-09,0.126463270816388,0.0237957634289495,9.78592996475073e-07,0.0938835436941502,0.0316195967750846,0.0016278738589024,0.0567477142478563,0.0376379445076068,0.0649721673035042,4.19925321824352e-09,0,1.075787681159568e-09,0.0009996756908760007,0.00039534358374548884,7.059899483341514e-05,,0,inf,,0.126463270816388,,0,False
Gene56,0.10179325,0.14209682,0.112012826,0.0911099,0.0153661715,0.02389152,0.03303968,0.0404777,0.089149384340237,0.0154520136479703,2.05757057574389e-08,0.119700352492606,0.0236358630297858,3.28071730802402e-07,0.0849131480004838,0.0315357541962737,0.0035021354742168,0.0629699022050837,0.0371327330174339,0.0446204527553904,2.05757057574389e-08,0,3.645972412869014e-13,0.0003401910785343354,0.00013142237872998397,0.00011200467346428322,,0,inf,,0.119700352492606,,0,False
Gene40,0.12623794,0.11380493,0.096360035,0.13185793,0.015845615,0.024607353,0.03282368,0.04118725,0.115873079483659,0.0175483777982479,6.83847365034653e-11,0.101983832504673,0.0288857290523484,0.000114185000791,0.0869474579518061,0.0406824477674202,0.0130544987089418,0.10169266148991,0.0371698975171339,0.0067399082444713,6.83847365034653e-11,0,8.174419817708056e-07,0.00034535737625773777,0.0027271475221818386,0.004086832812501107,,0,inf,,0.115873079483659,,0,False
Gene8,0.12550148,0.07794265,0.08091703,0.119759,0.01687478,0.02680993,0.035607297,0.04345856,0.109373878325324,0.0171543840199679,7.94212481348075e-10,0.0557668803345713,0.0275652527403485,0.0502670776776571,0.0533244555388893,0.033929873587078,0.0823213432216649,0.0790028519259775,0.0408113549026202,0.0542219534552993,7.94212481348075e-10,0,6.35525896353073e-08,8.365023673739813e-08,7.699480550127369e-06,0.0015144418935630899,,0,inf,,0.109373878325324,,0,False
Gene42,-0.1099268,-0.08522283,-0.09311744,-0.08521941,0.015767628,0.02398244,0.033145808,0.043102317,-0.109318247746128,0.0163439130821488,8.630413050880751e-10,-0.0946955635930669,0.0298327782592361,0.0005705482555327,-0.0959161070118463,0.0323946015594334,0.0041866057186753,-0.0903068241049257,0.0396815126347744,0.0244201660624399,8.630413050880751e-10,0,1.4418896521206648e-08,0.0002079186311750858,0.00065677875288217,0.0028519073032170494,,0,inf,,0.109318247746128,,0,False
Gene19,-0.06882707,-0.13625444,-0.09553024,-0.09189641,0.015766082,0.025000283,0.033735786,0.041602094,-0.0523232699450888,0.0156687590805644,0.000411954663813,-0.105623728404081,0.0244079282457737,7.43002903313972e-06,-0.0598300066506829,0.0317877461762677,0.0295470966882778,-0.0503334298247264,0.0375581877046372,0.0895276839732433,7.43002903313972e-06,1,0.0,5.517627161200078e-05,5.179028363166971e-06,3.375070018007964e-05,,0,inf,,0.105623728404081,,0,False
Gene88,0.113705896,0.13389903,0.13155209,0.13093413,0.016083088,0.024966042,0.03240095,0.04149848,0.099498462336313,0.0130518008804395,2.27350350130065e-09,0.100852972297461,0.0149839240774976,7.43814287454658e-06,0.0983965156391774,0.0183850511850585,0.0005898303833835,0.0961242793153031,0.02265455499792,0.0050061365792282,2.27350350130065e-09,0,6.772360450213455e-15,1.8341328456017436e-11,1.6341712316680912e-08,2.2677339618359937e-06,,0,inf,,0.100852972297461,,0,False
Gene93,0.08445087,0.11551804,0.08189926,0.07590699,0.014647146,0.02293029,0.03177849,0.039639544,0.0758461154601258,0.0148227786285338,2.4273911870567e-07,0.0996595864441965,0.02274238197323,6.6410853914942e-06,0.0642895625183841,0.0305496102681182,0.0179227095523203,0.0560382809824312,0.0365773402025472,0.063230040764962,2.4273911870567e-07,0,0.0,5.119940256093081e-06,4.450182604198716e-06,4.145706270330951e-05,,0,inf,,0.0996595864441965,,0,False
Gene77,-0.11266835,-0.13018548,-0.12590691,-0.13799283,0.014568391,0.023764605,0.032004267,0.040104114,-0.098788117277181,0.0110215367946423,6.545253228296129e-11,-0.0993093251141559,0.0129290523431495,4.20285419755473e-06,-0.0970046899451156,0.0166591077992547,0.0007045712631659,-0.0970555547488124,0.0184313886993459,0.0022496898725431,6.545253228296129e-11,0,0.0,3.4416913763379853e-15,3.154264627269754e-10,1.1666277277555537e-08,,0,inf,,0.0993093251141559,,0,False
Gene83,-0.09901148,-0.054133724,-0.025932562,-0.060203694,0.014858323,0.022600152,0.031727638,0.040379815,-0.0989360496474817,0.0149385615324528,6.6753038652223e-09,-0.0561046501334971,0.0224694092397597,0.0072398731113196,-0.032262173639382,0.0304147994022954,0.144668196196163,-0.0624252428927501,0.0369711351254508,0.046299648212039,6.6753038652223e-09,0,6.651346140529313e-12,7.56513740540754e-11,1.7438332111652244e-08,9.916285726663254e-05,,0,inf,,0.0989360496474817,,0,False
