gene,n_guides,best_day,best_day_among_active,active_days,hit_anyday,max_abs_postmean,min_lfsr,min_lfsr_among_active,guide_min_lfsr_min,median_guide_lfsr_min,gene_postmean_d0,gene_postsd_d0,gene_lfsr_d0,gene_postmean_d1,gene_postsd_d1,gene_lfsr_d1,gene_postmean_d2,gene_postsd_d2,gene_lfsr_d2,gene_postmean_d3,gene_postsd_d3,gene_lfsr_d3
Gene29,6,1,,,False,0.10062010793895167,0.0,,0.0,4.753912969935067e-11,-0.042446628361426715,0.007190252697553154,1.7808922114781467e-09,-0.0741689251388564,0.008112148084128362,0.0,-0.04128647450632825,0.0087682364464529,1.2468713541657905e-06,-0.10062010793895167,0.009609378764759046,0.0
Gene3,6,1,1.0,"d1,d3",True,0.7686270313595363,0.0,0.0,0.0,1.22447325280502e-44,-0.06633819729671141,0.011989227777791912,1.57265011013763e-08,-0.4406782732123374,0.018949789472301155,0.0,-0.04874098414975657,0.02402823865665048,0.02125525383083149,0.7686270313595363,0.031112803438063392,0.0
Gene30,6,0,,,False,0.1211390719448713,0.0,,0.0,1.9441142170032756e-09,-0.09231222801321201,0.006954737208372939,0.0,-0.10101538845907714,0.008226264827388844,0.0,-0.08898913174647236,0.009778951166127866,0.0,-0.1211390719448713,0.00962392147800229,0.0
Gene31,6,0,,,False,0.07424529028821589,0.0,,0.0,5.752904405695976e-17,-0.07424529028821589,0.006142825113247249,0.0,-0.07101961910380816,0.006396317376853454,0.0,-0.06835391708229092,0.006557650377999377,0.0,-0.06129497746165663,0.0068200936826820985,0.0
Gene32,6,3,3.0,d3,True,0.4669514861703492,0.0,0.0,0.0,3.949556254071055e-16,0.0246838506023723,0.012834141102779908,0.0272214513687421,0.015213072201759464,0.016586127564068773,0.17951456433662633,0.06493672743464901,0.021908319986812388,0.001518236263392203,0.4669514861703492,0.02790199450197192,0.0
Gene33,6,0,,,False,0.11212773856087939,0.0,,1.9634333685295102e-44,1.2126676015821018e-11,0.08975117703164652,0.010582751535482849,0.0,0.11212773856087939,0.01285612411037883,0.0,0.06854186784823145,0.017449967159990067,4.284396482490127e-05,0.035999210856141654,0.02261601782748931,0.055719627024639284
Gene34,6,2,2.0,d2,True,0.35335539066026767,0.0,0.0,0.0,6.550935213379999e-73,0.09873855569819352,0.01235493401967798,6.661338147750939e-16,0.09133083328510952,0.016458125517986956,1.4341991816380073e-08,-0.35335539066026767,0.021189106997164153,0.0,0.10855342452670051,0.026348171667361354,1.8946874029368566e-05
Gene35,6,0,,,False,0.09833107594103435,0.0,,8.05481869061407e-16,5.662049896191114e-07,0.0907487129028586,0.00580305474925191,0.0,0.09349538616505387,0.006142906340926219,0.0,0.09650701825450846,0.006527141784323136,0.0,0.09833107594103435,0.007211438646799722,0.0
Gene36,6,1,,,False,0.16630603980785869,3.672617765460018e-13,,7.27135042352151e-21,9.911812976270973e-06,0.07682465265893132,0.01103441784548642,1.6741052988322735e-12,0.10832562243217563,0.015102198856584781,3.672617765460018e-13,0.05783315229678281,0.0199766798285142,0.0018955918723235765,-0.16630603980785869,0.025922655891637125,7.019418379883291e-11
Gene37,6,0,1.0,d1,True,0.4349220526467305,0.0,0.0,1.35945316432284e-93,1.1510678821028386e-18,0.13183562067002094,0.012077067189127752,0.0,0.4349220526467305,0.01765947612314433,0.0,0.07527306013376943,0.022941182021381717,0.0005169556316610979,0.05644319689644498,0.027105220861339954,0.018654178029508084
Gene38,6,2,,,False,0.07790154237172806,6.327093342251011e-06,,9.04408247411211e-39,2.5303122375142105e-08,-0.014767931455204587,0.009863907033353133,0.06717470239100842,-0.04325351519706344,0.014099354338565647,0.0010783283111917008,-0.07790154237172806,0.017842767637786486,6.327093342251011e-06,-0.020872683015003137,0.02128513997540065,0.16338951549738467
Gene39,6,1,,,False,0.07211422085275329,2.620729436686453e-06,,0.0,0.012306553596889341,0.025089854660343566,0.00935601983035677,0.0036626707122302538,0.0636735038927268,0.013979172508495202,2.620729436686453e-06,0.07211422085275329,0.01804706626211336,3.2224854410345394e-05,0.042729018628385296,0.0204710731965157,0.01843106943700068
Gene4,6,1,,,False,0.10483123360432606,0.0,,0.0,0.004168620957871329,-0.03810329466948852,0.0073193028861762086,9.65480684289588e-08,-0.07710236926124237,0.009317231078454634,0.0,-0.05629694160861443,0.01081388294356604,9.648371313009108e-08,-0.10483123360432606,0.01191765729759716,0.0
Gene40,6,0,3.0,d3,True,0.20967192097565002,0.0,0.0,5.23956668926825e-31,1.8018018116365111e-06,0.15206767865222548,0.007009751034686261,0.0,0.16838950237968353,0.008108950416874892,0.0,0.1796004382221972,0.009388865341137701,0.0,0.20967192097565002,0.00939848995019247,0.0
