guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day
g259,Gene59,0.22466221,0.2288625,0.27441245,0.26348522,0.01927595,0.026289213,0.036674816,0.043635987,0.188991216951112,0.0145028227286834,1.33151138967312e-17,0.188866179699576,0.0149136049989781,6.92439419406611e-11,0.189345632833522,0.0160578106548202,1.54606891446826e-08,0.188973918499421,0.0163011266246635,2.52477386404434e-06,1.33151138967312e-17,0
g26,Gene26,-0.0941783,-0.10533545,-0.08243576,-0.053745013,0.018978346,0.027159117,0.034389585,0.04292343,-0.108271716178857,0.0220799850383529,6.40969545828707e-06,-0.110954295848804,0.0233616255986346,0.000199388663180256,-0.102976880864639,0.0325451205897486,0.00743674970401431,-0.0939537669784084,0.0442383243350719,0.0478650304920475,6.40969545828707e-06,0
g260,Gene60,-0.21318579,0.20973934,0.323881,0.30505842,0.020569613,0.02975453,0.037365776,0.044014182,-0.220753531178732,0.0305375890680137,2.76223488526739e-13,0.198365777184512,0.0441867002349691,3.01380455887899e-06,0.309390611428433,0.0554659811706386,9.2384671477341e-09,0.287841136458964,0.0653254512304323,4.43430416020062e-06,2.76223488526739e-13,0
g261,Gene61,0.06600995,0.058817923,0.03195527,0.022369886,0.01926705,0.027439887,0.033650726,0.03968502,0.0934547004198132,0.0216284353273569,0.000223943563104945,0.092023896998857,0.0253407555012293,0.00478801433007084,0.087150710429644,0.0336948064227424,0.0326356664513358,0.0856442497796842,0.0372185244137979,0.0501653074066795,0.000223943563104945,0
g262,Gene62,0.027382981,-0.025715843,0.043968823,0.05376916,0.018993504,0.026841924,0.034435984,0.043620545,0.0126996325443834,0.0199822145123125,0.320476851758083,-0.0423928393543241,0.0279246145953336,0.0703614090944695,0.0168668959610722,0.0346700998565637,0.371183447028863,0.0187073448639139,0.0422608903297196,0.38681848942626,0.0703614090944695,1
g263,Gene63,0.115093455,-0.14433023,-0.11098467,-0.12177561,0.020461282,0.02968132,0.03782591,0.04747354,0.124239243971151,0.0298027447754779,1.88621908950459e-05,-0.12978070911334,0.0434478624154996,0.00132752900162303,-0.0927136688331318,0.0551608898778836,0.0461628996461915,-0.0985454942520796,0.0690660549191872,0.0766789902501489,1.88621908950459e-05,0
g264,Gene64,0.1415187,0.18028869,0.11740226,0.15052272,0.01877035,0.02622967,0.035040513,0.0423321,0.124224301511181,0.022682717697768,1.63447010290208e-08,0.154170088387566,0.0315498955016627,2.42914776850922e-07,0.0880223311793611,0.0408607996861597,0.0127617005983311,0.112417487309928,0.0485146616774637,0.00776126909204181,1.63447010290208e-08,0
g265,Gene65,0.11156508,0.14405096,0.14158358,0.12532072,0.019737503,0.0275782,0.033942778,0.042421043,0.0934669448217744,0.0197150325493667,1.73370398800336e-05,0.102317862022112,0.0240615911602647,7.16147441001882e-05,0.0980791175269225,0.0273796451570898,0.0014906968327987,0.0882610471304959,0.0340450197161522,0.0192864366284605,1.73370398800336e-05,0
g266,Gene66,-0.3016308,-0.287739,-0.2740936,-0.24763268,0.019335972,0.026993163,0.03524633,0.04352611,-0.333626628775919,0.0147336865241936,0,-0.333565014383993,0.0150242568923413,5.55111512312578e-16,-0.33350439284903,0.01540724764342,1.80684023298738e-10,-0.333402501226737,0.0161304797791614,1.79079855056052e-07,0,0
g267,Gene67,-0.023261717,-0.048364513,-0.034509957,-0.011292811,0.018715737,0.0258391,0.032964278,0.04072903,-0.0227270225622957,0.019523684738378,0.131144264218445,-0.0404701289675723,0.0260842775878417,0.0556448860942436,-0.0295299615452872,0.0311958042882088,0.165581833962783,-0.0131836068803799,0.0381161277260083,0.335764888978677,0.0556448860942436,1
g268,Gene68,-0.5906111,-0.018576682,0.09569917,0.1289393,0.02623247,0.035073336,0.04156286,0.04842861,-0.592916331228411,0.0384897047301943,0,-0.0223683443513343,0.051434922513099,0.332242160784959,0.0909928718644988,0.0609318519983982,0.0679402537985243,0.123193074680707,0.0709413824528194,0.0415340683326037,0,0
g269,Gene69,0.3849822,0.37148464,0.4260614,0.38169256,0.018825255,0.026656328,0.033721928,0.040871784,0.370121508917814,0.0192340938103799,1.02811069969542e-43,0.364776984134619,0.0255013250069674,2.43435749004704e-21,0.378408173019724,0.0323194212673389,7.1074912338366e-18,0.364660321041486,0.0351089932292694,1.38010883602016e-10,1.02811069969542e-43,0
g27,Gene27,0.30160624,0.3075279,0.3224452,0.25817522,0.020360142,0.027092854,0.035556097,0.043606248,0.313052142311227,0.0216141396144447,7.40170095777944e-25,0.313311740883921,0.0237450701550463,1.20875846735516e-15,0.314963418227231,0.0260505667393071,7.30401783975829e-11,0.303311266271066,0.0433368584707581,6.71878187266262e-06,7.40170095777944e-25,0
g270,Gene70,-0.16439335,-0.7117283,-0.1501077,-0.076049015,0.018754441,0.030237308,0.04044859,0.048213966,-0.161915830326839,0.0277668321904997,2.42202979894302e-09,-0.707110675289264,0.0447562217199349,1.11022302462516e-16,-0.144823886673051,0.0598368049536265,0.00774179006247877,-0.0700071868024778,0.0712742215282536,0.163053881047391,1.11022302462516e-16,1
g271,Gene71,-0.028260304,-0.057139505,-0.70576453,0.8141347,0.020540083,0.029316349,0.041334555,0.05631768,-0.037083131299036,0.0282072946826069,0.0942369943888647,-0.0696242612812627,0.040226833485858,0.0419151371826659,-0.723683891714844,0.0566587685736023,0,0.786757417336829,0.0769845164412982,1.28658941806935e-22,0,2
g272,Gene72,0.39018407,0.052631866,-0.08047397,-0.06179821,0.023501858,0.031726245,0.038423676,0.045316543,0.391461766098234,0.0344479545347253,5.72790659165257e-30,0.054809078812207,0.0465150006968008,0.119033651835013,-0.0775788775598512,0.0563425665321169,0.0845841910910505,-0.0582380537276061,0.0663827380601014,0.189912986481784,5.72790659165257e-30,0
g273,Gene73,-0.06553627,-0.05548067,-0.015472486,-0.050872345,0.019440273,0.027715445,0.035883352,0.04353029,-0.0692369003601052,0.0222213263752667,0.00104451847741693,-0.0612371245365444,0.0304650835150442,0.0273075890505689,-0.0348805818137117,0.0455197896443459,0.245491157349296,-0.0565794351424967,0.0418916046201757,0.104881958830038,0.00104451847741693,0
g274,Gene74,0.21800996,-0.35453355,0.35677847,0.36237517,0.020436296,0.031638443,0.040496517,0.048755128,0.212437819481119,0.0301394575020467,6.52011194254495e-13,-0.36247282598169,0.0466262048093304,4.66293670342566e-15,0.345368442735878,0.0596676706522282,2.81567889123793e-09,0.348406882768338,0.0718110263306252,5.16308487122395e-07,4.66293670342566e-15,1
g275,Gene75,-0.026349222,-0.09252237,-0.9885001,0.15890677,0.021505423,0.030709172,0.04235985,0.054277636,-0.0103672877946815,0.0320348984774771,0.378556138130009,-0.0695928859202076,0.0457336232246318,0.0611357264405133,-0.956048038436385,0.062888395383585,0,0.199253666926701,0.0807375292402938,0.00827806769280771,0,2
g276,Gene76,0.124874495,0.11790231,0.020627348,0.07153679,0.019121079,0.027393594,0.03518405,0.043260008,0.12648120848219,0.0228221304409338,2.798946722551e-07,0.119864140971562,0.0324028404658865,0.000209056005529867,0.0294296490221532,0.0410566348026519,0.232363117539156,0.0783315737736361,0.0493672335217048,0.0555309022375301,2.798946722551e-07,0
g277,Gene77,-0.22139716,-0.23891428,-0.23463573,-0.2467215,0.018385435,0.026123859,0.033760548,0.041506756,-0.206363624914828,0.013828686954982,0,-0.206388748786602,0.0139169876737144,1.00086605669958e-12,-0.206330405172885,0.014092234152178,1.29578553442755e-08,-0.206335363244471,0.0142364127222137,3.78079525131803e-07,0,0
g278,Gene78,-0.05643635,-0.047740635,-0.06745925,-0.056909945,0.018452773,0.026703978,0.035578456,0.04494191,-0.0503255817233375,0.0146910005946807,0.00164723037073078,-0.0477888365936646,0.0184242208892471,0.0219646231239611,-0.0503695837642121,0.0196755147248569,0.0185311581684456,-0.0476900106952666,0.0234993388718903,0.0438475798834062,0.00164723037073078,0
g279,Gene79,0.5240308,0.0813141,-0.02027079,0.6342246,0.025354035,0.03601059,0.043476038,0.05187352,0.515857618462018,0.0379154406717791,4.43097995795557e-44,0.0703547969965942,0.0538190173798337,0.0959202234382327,-0.0334491187722785,0.0649874104789876,0.304002068893642,0.616644257355318,0.0774435204049141,2.37067714948494e-16,4.43097995795557e-44,0
g28,Gene28,-0.24229501,-0.23808707,-0.22047058,-0.21596499,0.021254797,0.028045988,0.035468664,0.04199772,-0.263987028172049,0.0176681470212887,0,-0.263946537519332,0.0178455237470971,9.20119536118591e-12,-0.263857385435453,0.0182555915203939,5.75250502787839e-08,-0.263820883065704,0.0185051537103436,1.40620235500322e-06,0,0
g280,Gene80,0.028552713,0.08797343,0.043833952,0.049941257,0.019146705,0.026368707,0.031896852,0.040205397,0.0166994594869853,0.0211252032670595,0.257573042622456,0.0684179966465493,0.0286278084336914,0.00714381872877296,0.0241533439649272,0.0339770851728719,0.281393867067719,0.0255606710118782,0.0412363392647024,0.310357664694729,0.00714381872877296,1
g281,Gene81,0.28533196,0.30321103,0.31161526,0.2990192,0.020276442,0.027445173,0.034738827,0.04295943,0.270909994995366,0.0159497894299472,2.59529115222076e-24,0.270939388878541,0.0160162847055317,1.58806131877446e-16,0.270942535255714,0.0161037898947725,4.08853226453252e-12,0.270885411552469,0.0162317362347757,1.12768580576581e-08,2.59529115222076e-24,0
g282,Gene82,0.0967958,0.11312205,0.112633586,0.1455316,0.019561328,0.025828633,0.035499074,0.042578306,0.0696780492141374,0.0158873851372824,8.48858316081375e-05,0.0705543866038337,0.0172997907747555,0.000460462227756418,0.0687074780056946,0.0198394910770417,0.00678588186791115,0.0712924183037868,0.0215868155878816,0.00424277426609383,8.48858316081375e-05,0
g283,Gene83,-0.293042,-0.2481644,-0.21996324,-0.25423428,0.019059267,0.026087873,0.03408788,0.041811664,-0.284964758827207,0.0285729795707357,0,-0.239939297865553,0.0427409213386824,3.29645200025652e-11,-0.20989499014786,0.0558970961095267,5.04330734196756e-06,-0.237305928355885,0.0606136337510282,1.5197426294411e-05,0,0
g284,Gene84,0.16395856,0.47633967,0.12892416,0.07780082,0.019837562,0.02759997,0.03657448,0.045009598,0.161931783016207,0.0293595892696102,1.50685663723377e-08,0.472915739333936,0.0408071860871758,1.2831047476911e-31,0.125300839671373,0.0540827261855859,0.0102278452131012,0.0736658265575005,0.0664958380512928,0.134066311102131,1.2831047476911e-31,1
g285,Gene85,0.28191617,0.2796876,0.23907195,0.25616303,0.020371819,0.028068522,0.035370205,0.043983936,0.307219545856658,0.0171819576437389,3.34940185484253e-23,0.307054404757064,0.0180267827620854,9.69394336037155e-14,0.306112626546208,0.0217650512311322,4.73542967533682e-08,0.306349115174206,0.0214246273545488,8.84138990759036e-07,3.34940185484253e-23,0
g286,Gene86,0.12997091,0.13544735,0.11188617,0.14886005,0.018513363,0.026317464,0.03397529,0.041412555,0.12353890803201,0.0171364536459671,2.23316119318305e-08,0.122834795229009,0.0199154381962181,2.89924691713939e-05,0.11764338936061,0.0285490976773606,0.00376998520302729,0.122011876765056,0.0250983312834993,0.00193107349962779,2.23316119318305e-08,0
g287,Gene87,-0.16279766,-0.20160322,-0.17310637,-0.15515925,0.018188803,0.027367633,0.03490819,0.042948727,-0.147641135439223,0.022698739125321,5.40625322287269e-11,-0.170816029646617,0.0315873817763434,4.3844288755146e-08,-0.142174349532845,0.0403422555556352,0.000225770886866039,-0.122843151043474,0.0500801061522498,0.00696571228036225,5.40625322287269e-11,0
g288,Gene88,0.026599461,0.046792526,0.044445638,0.043827724,0.019815406,0.027357517,0.03417967,0.043046933,0.0148349551133655,0.0168697207861493,0.192612382973662,0.0185747331130262,0.0205600382394892,0.165777387261435,0.0170700418168314,0.0221919916756901,0.195051415843801,0.0158101750550827,0.0249153574250356,0.21411651825513,0.165777387261435,1
g289,Gene89,0.10810386,0.14784501,0.13097328,0.10399286,0.018232247,0.025733177,0.03460686,0.041506242,0.0922036597645894,0.020970290888944,4.20993444934409e-06,0.122353106636437,0.0292246662572786,8.97968473676417e-06,0.0993314227198656,0.0381330416908211,0.00379100112422861,0.0712713700090038,0.044625753687396,0.0520796612342781,4.20993444934409e-06,0
g29,Gene29,-0.22170675,-0.23476158,-0.21186943,-0.2492671,0.019400587,0.026348833,0.03292531,0.039569695,-0.210179434586301,0.0162028205158374,1.11022302462516e-16,-0.210248328785598,0.016618796811579,3.37854189069731e-11,-0.209529445551394,0.0182682750384851,7.35393450135291e-07,-0.21015007836279,0.0178608712139202,1.06780055408873e-06,1.11022302462516e-16,0
g290,Gene90,0.096903495,0.16296622,0.113617495,0.11375525,0.018448438,0.026326241,0.034790855,0.042069256,0.0796929244589263,0.0214511862708667,6.60610261919083e-05,0.135062601297871,0.0306288611318297,2.53815659831765e-06,0.0814031699962214,0.0391712437010141,0.0157682445490117,0.0759339072392956,0.0461262430928036,0.0446469571838194,2.53815659831765e-06,1
g291,Gene91,0.19024199,0.1673926,0.15876226,0.13360953,0.018449577,0.02659948,0.03424179,0.043717355,0.221533597501782,0.0147622804090841,1.47095045063091e-15,0.221060393792297,0.0167053808266527,2.27233206232472e-08,0.220848051502184,0.0179325897198857,3.96124653021069e-06,0.22037411679134,0.0206240025478124,0.000182870589377954,1.47095045063091e-15,0
g292,Gene92,-0.3520815,-0.3173237,0.34441137,-0.33018887,0.021111308,0.028573029,0.038505837,0.04613203,-0.346295078644063,0.0311377647612444,0,-0.309447746345906,0.0421295758342148,2.4980018054066e-14,0.354321529884025,0.056804952342699,4.56550495441813e-10,-0.317545496350636,0.0678668225575912,8.32945472706292e-07,0,0
g293,Gene93,0.33634087,0.36740786,0.33378932,0.3277968,0.018798914,0.025922814,0.0338846,0.041182674,0.343553728773782,0.0176781572489734,9.36414182023051e-35,0.346455890882697,0.0184609310305596,8.74641710096538e-23,0.342148516408714,0.0238190927893609,2.76991269358404e-12,0.340965214349066,0.0278067674035126,7.59198347104374e-09,9.36414182023051e-35,0
g294,Gene94,-0.12568462,-0.12799907,-0.15422563,-0.13488217,0.018894171,0.027861381,0.0343168,0.042184584,-0.110987157169553,0.0155232769718982,7.30200235832257e-08,-0.110131061119168,0.0177467978615298,0.000114387481437106,-0.111598129285309,0.018025749938281,0.000152493219779837,-0.109187665199518,0.0214118979635324,0.00293174386922201,7.30200235832257e-08,0
g295,Gene95,0.11466717,0.1471049,0.19635634,0.14093533,0.018003399,0.024960784,0.032445833,0.041092053,0.0892270128805419,0.0226610272670049,0.000182211958929096,0.110873874518051,0.0313120887871057,0.000228879285393006,0.146238980545533,0.0407899586095527,0.00020651827523484,0.0846409735557165,0.0488742226007163,0.033332718056016,0.000182211958929096,0
g296,Gene96,0.04374824,0.005691485,-0.9283902,-0.041236755,0.018364102,0.02587988,0.037210573,0.047925822,0.0566906647214457,0.027581460384235,0.0211726089103734,0.0239358588117792,0.0388630372508037,0.267514243002141,-0.901164836813477,0.0557528103517172,0,-0.00672770697991355,0.0719625013806932,0.466609937310103,0,2
g297,Gene97,-0.08965697,-0.087873235,-0.06025546,-0.066449456,0.019309098,0.0275298,0.034612123,0.04136762,-0.1067151887463,0.019006120235528,1.03065650470802e-05,-0.105952151337098,0.0215727009079144,0.000715617007837954,-0.102044605677935,0.0292227990548044,0.0126310283825138,-0.10256469880228,0.0294452635203133,0.0150715660703148,1.03065650470802e-05,0
