guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g256,Gene56,-0.1855503,-0.14524676,-0.17533082,-0.19623367,0.019273775,0.026566561,0.03459759,0.041935544
g257,Gene57,0.02008535,-0.02595428,-0.0040226984,-0.009052193,0.0172485,0.025165703,0.032233693,0.037954472
g258,Gene58,-0.08791213,-0.08570604,-0.087691024,-0.07894448,0.018973751,0.025321437,0.03315822,0.040561892
g259,Gene59,0.22466221,0.2288625,0.27441245,0.26348522,0.01927595,0.026289213,0.036674816,0.043635987
g26,Gene26,-0.0941783,-0.10533545,-0.08243576,-0.053745013,0.018978346,0.027159117,0.034389585,0.04292343
g260,Gene60,-0.21318579,0.20973934,0.323881,0.30505842,0.020569613,0.02975453,0.037365776,0.044014182
g261,Gene61,0.06600995,0.058817923,0.03195527,0.022369886,0.01926705,0.027439887,0.033650726,0.03968502
g262,Gene62,0.027382981,-0.025715843,0.043968823,0.05376916,0.018993504,0.026841924,0.034435984,0.043620545
g263,Gene63,0.115093455,-0.14433023,-0.11098467,-0.12177561,0.020461282,0.02968132,0.03782591,0.04747354
g264,Gene64,0.1415187,0.18028869,0.11740226,0.15052272,0.01877035,0.02622967,0.035040513,0.0423321
g265,Gene65,0.11156508,0.14405096,0.14158358,0.12532072,0.019737503,0.0275782,0.033942778,0.042421043
g266,Gene66,-0.3016308,-0.287739,-0.2740936,-0.24763268,0.019335972,0.026993163,0.03524633,0.04352611
g267,Gene67,-0.023261717,-0.048364513,-0.034509957,-0.011292811,0.018715737,0.0258391,0.032964278,0.04072903
g268,Gene68,-0.5906111,-0.018576682,0.09569917,0.1289393,0.02623247,0.035073336,0.04156286,0.04842861
g269,Gene69,0.3849822,0.37148464,0.4260614,0.38169256,0.018825255,0.026656328,0.033721928,0.040871784
g27,Gene27,0.30160624,0.3075279,0.3224452,0.25817522,0.020360142,0.027092854,0.035556097,0.043606248
g270,Gene70,-0.16439335,-0.7117283,-0.1501077,-0.076049015,0.018754441,0.030237308,0.04044859,0.048213966
g271,Gene71,-0.028260304,-0.057139505,-0.70576453,0.8141347,0.020540083,0.029316349,0.041334555,0.05631768
g272,Gene72,0.39018407,0.052631866,-0.08047397,-0.06179821,0.023501858,0.031726245,0.038423676,0.045316543
g273,Gene73,-0.06553627,-0.05548067,-0.015472486,-0.050872345,0.019440273,0.027715445,0.035883352,0.04353029
g274,Gene74,0.21800996,-0.35453355,0.35677847,0.36237517,0.020436296,0.031638443,0.040496517,0.048755128
g275,Gene75,-0.026349222,-0.09252237,-0.9885001,0.15890677,0.021505423,0.030709172,0.04235985,0.054277636
g276,Gene76,0.124874495,0.11790231,0.020627348,0.07153679,0.019121079,0.027393594,0.03518405,0.043260008
g277,Gene77,-0.22139716,-0.23891428,-0.23463573,-0.2467215,0.018385435,0.026123859,0.033760548,0.041506756
g278,Gene78,-0.05643635,-0.047740635,-0.06745925,-0.056909945,0.018452773,0.026703978,0.035578456,0.04494191
g279,Gene79,0.5240308,0.0813141,-0.02027079,0.6342246,0.025354035,0.03601059,0.043476038,0.05187352
g28,Gene28,-0.24229501,-0.23808707,-0.22047058,-0.21596499,0.021254797,0.028045988,0.035468664,0.04199772
g280,Gene80,0.028552713,0.08797343,0.043833952,0.049941257,0.019146705,0.026368707,0.031896852,0.040205397
g281,Gene81,0.28533196,0.30321103,0.31161526,0.2990192,0.020276442,0.027445173,0.034738827,0.04295943
g282,Gene82,0.0967958,0.11312205,0.112633586,0.1455316,0.019561328,0.025828633,0.035499074,0.042578306
g283,Gene83,-0.293042,-0.2481644,-0.21996324,-0.25423428,0.019059267,0.026087873,0.03408788,0.041811664
g284,Gene84,0.16395856,0.47633967,0.12892416,0.07780082,0.019837562,0.02759997,0.03657448,0.045009598
