gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
Gene28,-0.22635739,-0.34688082,-0.5105465,-0.79497504,0.08898994,0.12134231,0.15767124,0.20652224,-0.297874587312837,0.000188387792618649,-0.332435588657958,9.12503420086308e-05,-0.361315585821568,5.8397634898566e-05,-0.38874126162724,3.87578641930508e-05,3.87578641930508e-05,3
Gene29,0.00022893093,-0.07116598,-0.12543637,-0.103982754,0.0728536,0.10692949,0.12419726,0.15348321,-0.0110160083789025,0.794840001638604,-0.0121116514449382,0.790873318108396,-0.0127038266286324,0.789614890212193,-0.0123647769081032,0.791099623591641,0.789614890212193,2
Gene3,0.010834921,-0.0068801553,-0.0069481903,-0.18197353,0.07415039,0.10139278,0.13131835,0.16955999,-0.00235845683816743,0.88637030421807,-0.00259657831188324,0.8852368427562,-0.00263364216128285,0.885241290886891,-0.00369259669075718,0.882171003881912,0.882171003881912,3
Gene30,-0.23207508,-0.40365246,-0.45887086,-0.63932616,0.08707604,0.12074698,0.15230213,0.1788102,-0.305959917594384,0.000112220594768564,-0.34264560441116,2.08042663022434e-05,-0.348478773822221,7.58253416499599e-05,-0.367349991624785,3.3602935135546e-05,2.08042663022434e-05,1
Gene4,0.017820217,0.061903566,-0.008409885,-0.014452993,0.073851846,0.1086105,0.13338952,0.1660545,0.0037868508626572,0.873326113143278,0.00413921712493774,0.872212823561179,0.0036020734667253,0.874485844155024,0.00360398970629281,0.874497403424905,0.872212823561179,1
Gene5,0.043124765,0.0735428,0.30921492,0.3587528,0.081186675,0.10976935,0.13217889,0.16277163,0.0900118091957043,0.226721304113415,0.0961227107651027,0.219776497156962,0.120709651367827,0.196939648336427,0.121484817988575,0.198553858296179,0.196939648336427,2
Gene6,-0.020917118,-0.004844824,-0.016728846,0.06450033,0.07908965,0.11456622,0.14475587,0.18044794,-0.00158839503627034,0.890172386243034,-0.00140594316627945,0.891238117068663,-0.00148109203313154,0.890992535829994,-0.00102559943542463,0.892513183476363,0.890172386243034,0
Gene7,0.02518,0.13804646,0.17312568,0.08880538,0.07956523,0.106574275,0.1437345,0.17879924,0.0306729059693802,0.624106954592172,0.0338455474161845,0.616270207145201,0.0342220421560668,0.617334238227378,0.0325716555094461,0.622048991909913,0.616270207145201,1
Gene8,0.17879061,0.28072524,0.47033015,0.68336535,0.08219267,0.113940716,0.14431855,0.16429141,0.249385817031978,0.000977726437065887,0.29019008177461,0.000470273609955276,0.338382530804543,9.80289887379671e-05,0.378252145897946,1.91848303847046e-05,1.91848303847046e-05,3
Gene9,0.087205686,0.106305435,-0.10815337,-0.19317307,0.0746925,0.10485499,0.14286338,0.17853658,0.0103339536080495,0.808408490726711,0.0103545592716901,0.810716183897736,0.0058283951617518,0.828108294596579,0.00508052631236521,0.829596664546652,0.808408490726711,0
