guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
g29,Gene29,-0.20075068,-0.27123448,-0.32712886,-0.30799162,0.12583315,0.13690954,0.15355527,0.18599099,-0.254104190246893,0.00345736582115763,-0.254104190246893,0.00345736582115763,-0.254104190246893,0.00345736582115763,-0.254104190246893,0.00345736582115763,0.00345736582115763,0
g3,Gene3,-0.14369263,-0.16131869,-0.15233171,-0.32610583,0.13532563,0.1536682,0.16625452,0.18907684,-0.151967593472423,0.133249633527162,-0.151967593472423,0.133249633527162,-0.151967593472423,0.133249633527162,-0.151967593472423,0.133249633527162,0.133249633527162,1
g30,Gene30,-0.41419545,-0.59400314,-0.6512425,-0.82817656,0.13859475,0.15501492,0.18028714,0.20683709,-0.552761289465932,9.86402071134762e-11,-0.552761289465932,9.86402071134762e-11,-0.552761289465932,9.86402071134762e-11,-0.552761289465932,9.86402071134762e-11,9.86402071134762e-11,0
g31,Gene1,-0.05502309,-0.15852797,-0.32523164,-0.5115831,0.120611385,0.14358176,0.17001788,0.18984199,-0.187440633005054,0.0504189582872984,-0.187440633005054,0.0504189582872984,-0.187440633005054,0.0504189582872984,-0.187440633005054,0.0504189582872984,0.0504189582872984,0
g32,Gene2,0.3273521,0.51477313,0.5568264,0.4019646,0.12317367,0.14929901,0.17779888,0.21672153,0.413484101318704,8.2804664514668e-07,0.413484101318704,8.28046645146681e-07,0.413484101318704,8.2804664514668e-07,0.413484101318704,8.2804664514668e-07,8.2804664514668e-07,2
g33,Gene3,-0.058461107,-0.07608717,-0.06710015,-0.24087429,0.13017443,0.14871022,0.1642709,0.19620371,-0.0469756077645868,0.535490917744782,-0.0469756077645868,0.535490917744781,-0.0469756077645868,0.535490917744781,-0.0469756077645868,0.535490917744781,0.535490917744781,2
g34,Gene4,0.030501014,0.07228957,0.007023493,-0.0056275935,0.14142254,0.16036765,0.18070495,0.19184627,0.0109704866165574,0.753456168621183,0.0109704866165574,0.753456168621183,0.0109704866165574,0.753456168621183,0.0109704866165574,0.753456168621183,0.753456168621183,0
g35,Gene5,0.05048973,0.072714835,0.3004166,0.35955822,0.12819552,0.1502388,0.17343415,0.20043482,0.11515811413682,0.238640049083608,0.11515811413682,0.238640049083608,0.11515811413682,0.238640049083608,0.11515811413682,0.238640049083608,0.238640049083608,0
g36,Gene6,-0.24534559,-0.23444536,-0.25567156,-0.16638999,0.11846555,0.15016411,0.17506978,0.19233994,-0.217752311623298,0.0209363293023026,-0.217752311623298,0.0209363293023027,-0.217752311623298,0.0209363293023026,-0.217752311623298,0.0209363293023026,0.0209363293023026,0
g37,Gene7,0.1775241,0.29011348,0.33309138,0.22178228,0.13691999,0.16078277,0.1753158,0.20988558,0.230173889533321,0.0240644326223144,0.230173889533321,0.0240644326223144,0.230173889533321,0.0240644326223144,0.230173889533321,0.0240644326223144,0.0240644326223144,0
g38,Gene8,0.42037395,0.52569616,0.72288084,0.9487143,0.1346577,0.15871412,0.1856889,0.20098734,0.568300867999834,2.29419127401829e-11,0.568300867999834,2.29419127401829e-11,0.568300867999834,2.29419127401829e-11,0.568300867999834,2.29419127401829e-11,2.29419127401829e-11,2
