gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,postsd_d0,lfsr_d0,postmean_d1,postsd_d1,lfsr_d1,postmean_d2,postsd_d2,lfsr_d2,postmean_d3,postsd_d3,lfsr_d3,lfsr_min,best_day,plarge_d0,plarge_d1,plarge_d2,plarge_d3,active_days,n_active_days,min_lfsr_among_active,best_day_among_active,max_abs_postmean,active_days_any,n_any_active,hit_anyday
Gene100,0.023810523,-0.037548047,0.032122765,0.029828168,0.009867964,0.021342611,0.028796028,0.03932911,0.0146297365963823,0.0107447670421193,0.15812411314474,-0.0452984378154652,0.0158642440495731,0.0025244728472959,0.0131609152548151,0.0193478860916629,0.31595324064708,0.0066356974670078,0.0236042059905234,0.452752286594351,0.0025244728472959,1,0.0,0.0,0.0,1.1102230246251565e-16,,0,inf,,0.0452984378154652,,0,False
Gene27,0.03810528,0.040567484,0.065836295,-0.0061858054,0.010726723,0.01992744,0.030438572,0.03972058,0.0304638079686206,0.0124800977643906,0.0631815766431107,0.0298473004224064,0.0161231958742731,0.0759349142109253,0.0448567842650516,0.0233274406250763,0.0725435568264904,-0.0152057427745152,0.0328959641795814,0.330012060231384,0.0631815766431107,0,0.0,0.0,1.4587664409759782e-11,9.715349746919344e-09,,0,inf,,0.0448567842650516,,0,False
Gene13,0.048529323,0.029101206,0.025536513,0.015027695,0.010685432,0.022874393,0.030921418,0.040371265,0.0440986881608304,0.0098200202124484,6.31689239287383e-06,0.0228956232872235,0.0162674115881345,0.0792309070720868,0.0180360488350337,0.0208631138052345,0.194077664519798,0.008989290596804,0.0251559960684908,0.361109701481425,6.31689239287383e-06,0,0.0,0.0,0.0,1.5654144647214707e-14,,0,inf,,0.0440986881608304,,0,False
Gene12,0.051418807,0.02557404,0.060912393,0.013417183,0.01094049,0.021962458,0.029889844,0.039844338,0.0435776397277677,0.0099627866128996,1.13595806063756e-05,0.0149870166472873,0.0159322433870625,0.173622353042523,0.0409287629297002,0.0205610585683834,0.0226473439354838,0.0006893026750567,0.0253622389357277,0.489481441618948,1.13595806063756e-05,0,0.0,0.0,5.10702591327572e-15,3.1086244689504383e-15,,0,inf,,0.0435776397277677,,0,False
Gene95,-0.0033014545,0.030379375,0.08596088,0.026301159,0.010032502,0.02021508,0.028762318,0.038334817,-0.0184333628887139,0.0101056582353791,0.0347114244248757,0.0057293506292598,0.0149579210704462,0.351082798982411,0.04318454828664,0.0203299559214416,0.0161559555257361,-0.0138106855263442,0.0249122633329551,0.286567202444028,0.0161559555257361,2,0.0,0.0,6.106226635438361e-15,3.8968828164342995e-14,,0,inf,,0.04318454828664,,0,False
Gene83,-0.0343777,0.012230125,0.044915095,0.010850967,0.0098111415,0.019361248,0.029403174,0.03856494,-0.0425986938979246,0.0100417699123563,6.53484043657837e-05,-0.0024458311766377,0.0143253099181014,0.433111481146954,0.0178740563957956,0.0205560776783984,0.191619606469574,-0.014818226241481,0.0248527974993077,0.274854643466804,6.53484043657837e-05,0,0.0,0.0,0.0,4.629630012686903e-14,,0,inf,,0.0425986938979246,,0,False
Gene14,0.03946299,0.053200666,0.08446782,0.034514677,0.009561286,0.020984728,0.02891777,0.03631053,0.0216847084156613,0.0112613497031242,0.0626978531902453,0.0250813692537976,0.016494866467625,0.0948112491783712,0.0412479538347172,0.0223554737424313,0.0668389813172864,-0.0063652542649746,0.027765201952124,0.424088071934498,0.0626978531902453,0,0.0,0.0,6.181721801112872e-13,1.5935031072444872e-12,,0,inf,,0.0412479538347172,,0,False
Gene38,-0.0063830977,-0.046413843,-0.08740526,-0.03461473,0.009880801,0.021446958,0.02946869,0.039320167,0.0104397558273331,0.0099483127465844,0.14603259448699,-0.0169720752439628,0.0155444763146157,0.13620186868052,-0.041180614016634,0.0203493684292395,0.0207134405609586,0.01051712463043,0.0249767450734581,0.334253427124808,0.0207134405609586,2,0.0,0.0,2.9976021664879227e-15,1.6431300764452317e-14,,0,inf,,0.041180614016634,,0,False
Gene8,0.041864406,-0.0020041796,-0.003956568,0.04621424,0.01056115,0.023420604,0.03284585,0.041187342,0.036120213783171,0.0095425755054055,9.44135383339833e-05,-0.0077242462858256,0.0161661376766104,0.315000115112616,-0.0101071432458157,0.0212867383803361,0.316087164941151,0.0251737340921283,0.0247541748423365,0.153629221383119,9.44135383339833e-05,0,0.0,0.0,0.0,8.176792576364278e-13,,0,inf,,0.036120213783171,,0,False
Gene26,0.06351636,0.06180591,0.07236441,0.11277551,0.009788089,0.021403631,0.030012976,0.039700612,0.0356238382529581,0.0099553971491443,0.0001568524492287,0.018307967143068,0.0155294944667023,0.118789302684457,0.0126806097179056,0.0206228582569451,0.269987644704542,0.0281694464065589,0.0250957883306185,0.130311287469833,0.0001568524492287,0,0.0,0.0,0.0,3.771094547744269e-12,,0,inf,,0.0356238382529581,,0,False
