guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g225,Gene25,-0.088761374,-0.049576133,-0.0756062,-0.012287563,0.012331974,0.014783959,0.016599081,0.021137765
g226,Gene26,-0.014240692,-0.053431097,-0.085104376,0.05967186,0.011654103,0.013732086,0.015954956,0.02098132
g227,Gene27,0.0046664653,0.00790637,0.016212573,0.051438328,0.011691793,0.013810902,0.015784811,0.019162996
g228,Gene28,0.10473929,0.17902677,0.096668586,0.052687675,0.011410386,0.014386819,0.017304849,0.021401424
g229,Gene29,-0.0077359574,0.026156202,0.018295769,0.029373057,0.012558406,0.014560774,0.016539095,0.021148147
g23,Gene23,0.09733868,0.055382755,0.031608235,0.07916627,0.012764753,0.015270776,0.017229615,0.022082608
g230,Gene30,-0.034319844,-0.024528207,-0.11618722,-0.0560327,0.011954847,0.015029837,0.017373811,0.02125704
g231,Gene31,0.008208125,0.008653619,-0.02481408,0.03405104,0.011945968,0.014461382,0.016541759,0.020654023
g232,Gene32,-0.10560346,-0.045979377,0.021432696,0.023597647,0.012502508,0.0148066,0.01750874,0.02116997
g233,Gene33,0.013316819,-0.02036703,-0.03490182,-0.024456533,0.010741192,0.013399801,0.015774611,0.01983604
g234,Gene34,0.036346935,0.021891547,0.0504112,0.11755066,0.010947634,0.01337554,0.015917793,0.020777658
g235,Gene35,0.12940249,0.13583246,0.12131015,0.060111847,0.011737128,0.014403612,0.016528571,0.020314487
g236,Gene36,-0.013198855,0.005942689,-0.027603494,0.0096792,0.012059794,0.014146477,0.016108865,0.020651415
g237,Gene37,0.09999918,0.052557956,0.08975266,0.09271647,0.011144887,0.013911327,0.0159264,0.018710151
g238,Gene38,0.02009564,0.044979546,0.026832853,0.07543186,0.011682545,0.013825199,0.015700435,0.019459179
g239,Gene39,-0.06402142,-0.054942124,-0.072081335,-0.0018896157,0.011160419,0.013830371,0.017009025,0.021126676
g24,Gene24,0.06834113,0.043583512,0.024492094,0.08130587,0.010996173,0.014046197,0.016327763,0.02025699
g240,Gene40,0.012005313,0.0015976491,-0.018322514,0.10911448,0.012894718,0.015067721,0.016811786,0.020939535
g241,Gene41,-0.039743904,-0.055812832,-0.06451673,-0.031175924,0.012188637,0.014664721,0.016825868,0.0214934
g242,Gene42,0.06239094,0.07391936,0.14491308,0.08175239,0.011332564,0.0132349245,0.016354425,0.020954255
g243,Gene43,-0.012087303,-0.059196208,-0.008445988,0.0622266,0.011826833,0.01395607,0.016129933,0.020071832
g244,Gene44,0.04978526,0.021709519,0.033389732,0.06885267,0.011821474,0.014782201,0.01619021,0.019966964
g245,Gene45,0.027631668,-0.06250273,0.005063425,0.04843214,0.010078628,0.01298001,0.015751755,0.019294543
g246,Gene46,-0.029430151,-0.04819786,-0.029443488,0.027857348,0.012625516,0.014921439,0.016472628,0.020920273
g247,Gene47,0.047164258,0.038388416,0.01797297,0.11908449,0.0120481895,0.014643607,0.016996838,0.021684501
g248,Gene48,-0.0370821,-0.049446087,-0.042187143,-0.10781568,0.010908821,0.013298364,0.015215847,0.01970051
g249,Gene49,0.004563063,0.014457557,-0.010236374,0.014445521,0.011447864,0.013819204,0.016188757,0.019991804
g25,Gene25,-0.024795841,0.014389422,-0.011640591,0.051677976,0.011717573,0.013889061,0.015815323,0.01997323
g250,Gene50,0.06132676,0.06403415,0.08810698,0.12612428,0.0113739595,0.013469235,0.015437757,0.02057325
g251,Gene51,0.082132146,-0.0013270231,0.06450609,0.09758435,0.012159909,0.014788872,0.016438868,0.020365357
g252,Gene52,0.08682161,0.044440363,0.021237416,0.030744957,0.012698817,0.014947973,0.017827224,0.02168636
g253,Gene53,0.052323166,0.00055821985,0.026478905,0.071441896,0.011372004,0.0140665425,0.016658427,0.020436343
g254,Gene54,-0.07699276,-0.096289344,-0.16289544,-0.068465576,0.01231571,0.015010553,0.017327376,0.021558138
g255,Gene55,-0.030870156,-0.05062202,-0.08144703,0.013168104,0.011625033,0.014150655,0.015944105,0.021091865
g256,Gene56,-0.023132382,-0.058109958,0.0021684826,0.019259548,0.012205748,0.014754904,0.017269092,0.020678565
g257,Gene57,0.026683778,0.06946996,0.099896505,0.064678065,0.011678119,0.014001457,0.016446706,0.020644173
g258,Gene58,-0.0062991166,-0.0036424825,-0.01026536,-0.0323312,0.012501009,0.014956902,0.017030967,0.021135578
g259,Gene59,0.031071229,-0.02866519,-0.093838714,-0.02723421,0.011167293,0.013257374,0.015718643,0.02080456
g26,Gene26,0.09346832,0.05427788,0.022604564,0.16738084,0.012402752,0.014716004,0.016912602,0.021778546
g260,Gene60,0.042459942,0.008181931,0.05710591,0.05435751,0.0115502635,0.013686774,0.015789974,0.019713866
g261,Gene61,-0.016079571,0.046860468,0.045432206,0.048179768,0.011296034,0.013353421,0.015603082,0.020082265
g262,Gene62,0.06416938,0.05702406,0.09552662,0.0897651,0.012737613,0.014904995,0.017372482,0.021724664
