gene,lfsr_min,best_day,postmean_bestday,n_guides,min_guide_lfsr_min,median_guide_lfsr_min,max_abs_postmean,hit_anyday
Gene86,0.0,2,-0.712575468819301,6,0.0,9.603944033511566e-29,0.712575468819301,True
Gene87,0.0,1,-0.554506392681796,6,0.0,0.0,0.84818423797894,True
Gene88,0.0,1,-0.430970442926375,6,0.0,0.0,0.544637243710143,True
Gene89,0.0,0,-0.316710972968614,6,0.0,0.0,1.05695110042204,True
Gene9,0.0,1,-0.537220952930173,6,0.0,3.35340224173396e-199,0.966843643013735,True
Gene90,0.0,0,-0.412304612431124,6,0.0,1.2315300336258802e-44,0.905738390816765,True
Gene91,0.0,0,-0.805655221102906,6,0.0,0.0,1.15704236364283,True
Gene92,0.0,0,-0.804176657411461,6,0.0,0.0,0.936950795220314,True
Gene93,0.0,1,-0.574931292718511,6,0.0,0.0,0.749444646634648,True
Gene94,0.0,0,-0.404803155359315,6,0.0,0.0,0.838813737285565,True
Gene96,0.0,0,-0.256396912346863,6,0.0,0.0,1.15753714309653,True
Gene97,0.0,1,-0.753622690877991,6,0.0,0.0,1.16908107471915,True
Gene98,0.0,0,-0.228202442477046,6,0.0,1.49835186113121e-05,0.22844346943471,True
Gene99,0.0,0,-0.385598300992858,6,0.0,0.0,1.29051354373606,True
Gene95,5.41620599921503e-240,0,1.16259353442536,6,5.41620599921503e-240,5.25353306531255e-174,1.16259353442536,True
Gene61,5.16864568338175e-235,0,1.13839939909463,6,5.16864568338175e-235,1.399492260248355e-70,1.13839939909463,True
Gene36,2.35678752422008e-204,0,1.060204031213,6,2.35678752422008e-204,2.2990734657358402e-147,1.060204031213,True
Gene42,2.5672334371734603e-201,0,1.01405433416093,6,2.5672334371734603e-201,8.48290849670065e-65,1.01405433416093,True
Gene83,5.484728377784371e-201,0,1.00968511081866,6,5.484728377784371e-201,3.508228769465114e-100,1.32549726322283,True
Gene15,3.9007243160299605e-182,0,1.00694144760409,6,3.9007243160299605e-182,5.21674028208975e-126,1.00694144760409,True
Gene14,6.245510688982889e-178,0,0.949867177566657,6,6.245510688982889e-178,6.507478805070599e-103,1.16750205905481,True
Gene60,4.0397766520162004e-156,0,0.959014683882524,6,4.0397766520162004e-156,1.222408518377865e-131,0.959014683882524,True
Gene76,2.45776606837151e-155,0,0.908974421098132,6,2.45776606837151e-155,7.190532119395149e-79,1.19007405723952,True
Gene27,5.10221936958276e-140,0,0.879476683544464,6,5.10221936958276e-140,2.467339470051271e-109,0.879476683544464,True
Gene81,1.1587652313692701e-132,0,0.757965528695657,6,1.1587652313692701e-132,6.316243244432493e-103,0.826340140244429,True
Gene18,6.98128894994304e-130,1,1.09959318845725,6,6.98128894994304e-130,2.1523773449635833e-56,1.29943891071555,True
Gene44,7.53252628320809e-125,0,0.702574734723946,6,7.53252628320809e-125,7.636434431701522e-108,0.74122327451536,True
Gene41,1.09045082688139e-114,1,0.968265988520577,6,1.09045082688139e-114,7.99003328170825e-27,0.968265988520577,True
Gene6,1.21265918510349e-108,0,0.707740529646073,6,1.21265918510349e-108,4.577052908316435e-15,0.761399182386509,True
Gene54,2.6892578928368197e-69,2,0.946254032623405,6,2.6892578928368197e-69,1.0463197325295292e-24,0.946254032623405,True
Gene37,3.47289194842997e-52,0,0.488802350643064,6,3.47289194842997e-52,2.525679827931635e-17,0.489620651440154,True
Gene13,6.59644009942662e-52,3,1.0418728319005,6,6.59644009942662e-52,1.3516227348647423e-31,1.0418728319005,True
Gene26,2.15157951955022e-38,0,0.336503501926879,6,2.15157951955022e-38,3.230303409238418e-09,0.336521273495538,True
Gene68,2.11398576112121e-31,0,0.363376846505461,6,2.11398576112121e-31,0.0002855808221844889,0.363538346458596,True
Gene40,1.2651994717086698e-28,0,0.359986405950702,6,1.2651994717086698e-28,0.1531514346746575,0.359986405950702,True
Gene100,2.4386288453657303e-25,0,0.321951371804778,6,2.4386288453657303e-25,0.0034370414381684196,0.321951371804778,True
Gene21,9.943470749261461e-25,0,0.293749101338191,6,9.943470749261461e-25,4.779577727870299e-05,0.294646102801004,True
Gene24,3.88331069124448e-13,0,0.256829652204702,6,3.88331069124448e-13,2.2797552397343303e-05,0.465828790362873,True
