guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g20,Gene20,-0.2494542,-0.041348893,-0.0064474028,-0.8228271,0.029157897,0.04162206,0.051669285,0.06271605
g200,Gene100,0.23327783,0.23042992,0.21383695,0.2047303,0.030496947,0.042996977,0.05400307,0.06568995
g201,Gene1,0.23434149,0.2233475,0.19596328,0.2294741,0.029699635,0.04273001,0.05402277,0.06618053
g202,Gene2,0.55605894,0.051698577,0.5476767,0.54358715,0.030500762,0.041776832,0.052909877,0.06130293
g203,Gene3,0.29957664,0.7738697,-0.2100741,0.22766925,0.02997119,0.0431121,0.055256024,0.065816455
g204,Gene4,0.023884073,0.88522553,0.013367332,-0.88093925,0.028420439,0.041090768,0.05289872,0.0635577
g205,Gene5,-0.45212638,-0.25170317,-0.2304075,-0.20346943,0.030624041,0.041175254,0.052852675,0.06274048
g206,Gene6,0.55584437,0.2500451,0.6158793,0.16971841,0.031215971,0.044711858,0.057140518,0.06815556
g207,Gene7,-0.5048707,0.13463092,-0.10289962,-0.86926013,0.030751016,0.041620437,0.0503242,0.060329065
g208,Gene8,-0.4857542,0.64918524,-0.5022134,0.04037013,0.031204585,0.047667746,0.061983086,0.07059102
g209,Gene9,0.7005253,-0.45843327,0.033384416,0.017664995,0.03168558,0.04989607,0.06074855,0.069612585
g21,Gene21,-0.14072546,-0.11143585,-0.184484,-0.15955022,0.030774456,0.041671824,0.051563922,0.05944779
g210,Gene10,0.26433894,0.4298001,-0.32115546,0.24375536,0.027623203,0.03991292,0.05365518,0.065305926
g211,Gene11,-0.8084714,-0.059184402,0.48921233,-0.059190765,0.032056015,0.04692817,0.0570171,0.068010315
g212,Gene12,-0.18653357,0.22450586,-0.6222339,0.29746997,0.030064406,0.04498753,0.05860304,0.07096827
g213,Gene13,-0.13644755,-0.19741303,0.35470876,0.70174754,0.032070503,0.045683213,0.057587717,0.0692823
g214,Gene14,0.652449,0.15732433,0.10556854,0.8846709,0.030308,0.043756712,0.05608397,0.06807755
g215,Gene15,0.8403351,0.14599319,0.8322257,0.49328238,0.0352861,0.04882641,0.0625095,0.072559886
g216,Gene16,-0.27600494,-0.12588675,-0.90282077,0.445781,0.02895154,0.04247352,0.05657388,0.071102925
g217,Gene17,-0.03239823,-0.7225598,-0.040958285,-0.9476485,0.030349448,0.044124,0.05566184,0.06690172
g218,Gene18,0.023864718,0.5535515,0.0902089,0.76501226,0.030105403,0.043781355,0.05472629,0.06635631
g219,Gene19,0.3185096,0.76511866,1.1644443,-0.5459412,0.031921133,0.048003666,0.0594384,0.07388308
g22,Gene22,0.11188452,-0.65020853,0.05535731,-0.5880853,0.030436467,0.045728754,0.060366068,0.069846496
g220,Gene20,-0.118893735,0.089211695,0.124113135,-0.6922658,0.029224692,0.042377673,0.052636825,0.06366265
g221,Gene21,0.09923864,0.12852809,0.055480015,0.080413915,0.029341694,0.040272593,0.05099152,0.05884684
g222,Gene22,0.28774387,-0.47434923,0.23121655,-0.41222602,0.029924288,0.045680825,0.058609888,0.068076044
g223,Gene23,-0.30483317,0.5371985,-0.27184686,0.15162864,0.02813737,0.04687975,0.059015647,0.06968452
g224,Gene24,-0.17783037,-0.12303841,-0.16809265,0.037325025,0.031226274,0.04552234,0.057196356,0.06617412
g225,Gene25,0.20934919,0.16295512,-0.729184,0.19928728,0.029934676,0.043251824,0.057057515,0.06814037
g226,Gene26,0.2548988,0.25660482,0.24248403,0.26539525,0.02712376,0.036829047,0.048899855,0.05958289
g227,Gene27,0.54782754,-0.037659083,0.35158038,0.3633536,0.032658357,0.04577968,0.058949202,0.06929172
g228,Gene28,-0.059041366,-0.06637611,-0.023287458,-0.76105005,0.029667182,0.0419438,0.05245543,0.06248171
g229,Gene29,-0.83721894,-0.3762578,0.37090382,-0.054800246,0.0347423,0.04566829,0.057254966,0.069003984
g23,Gene23,-0.24037229,0.6016594,-0.20738599,0.21608981,0.031718995,0.046832684,0.058509,0.06853312
g230,Gene30,0.27233675,-0.06675385,0.24969941,0.24202545,0.030666646,0.045569282,0.055854496,0.06664286
g231,Gene31,0.96428454,1.0147909,-0.20260337,-0.4262391,0.033968836,0.04692585,0.05937751,0.06809826
g232,Gene32,-0.08350152,-0.839719,-0.61011404,-0.880892,0.03154907,0.043661185,0.052697852,0.062163416
g233,Gene33,-0.24405374,-0.8393212,0.45627248,0.16404304,0.030649953,0.045742773,0.060348205,0.07013275
g234,Gene34,0.027879035,-0.52947295,-0.1958531,-0.5216859,0.027402854,0.039689783,0.051126435,0.062245302
g235,Gene35,-0.057315987,-0.074453965,-0.08849292,0.19909205,0.028859844,0.044342425,0.055517234,0.06667078
g236,Gene36,0.8410827,0.17341405,0.13848229,0.1427695,0.032738768,0.045200776,0.05722112,0.06614274
g237,Gene37,0.43445426,0.46247748,0.40082166,0.4038463,0.029050687,0.04157865,0.05393418,0.059968162
g238,Gene38,1.2982857,-0.040676538,0.93315893,0.53369826,0.03677946,0.052871976,0.0650776,0.07254357
g239,Gene39,-0.80227566,-0.12634155,-0.07661791,-0.43160897,0.034197144,0.046054505,0.06080994,0.06931859
g24,Gene24,0.21279852,0.26759064,0.22253649,0.4279542,0.030347556,0.045667548,0.05703184,0.06618909
g240,Gene40,0.030443609,-0.029878344,-0.010918456,0.016826248,0.031468783,0.0420893,0.05227819,0.06170478
g241,Gene41,-0.07478203,0.40925565,-0.0019776288,-0.06161501,0.028726203,0.04213287,0.055296037,0.06647642
g242,Gene42,1.0211421,0.40816152,0.8336331,0.33452713,0.033826713,0.047628306,0.059948493,0.07099147
g243,Gene43,0.3193842,-0.41917834,0.067517355,-0.7125907,0.032030832,0.043719113,0.053950083,0.06263505
g244,Gene44,0.6226488,0.19877005,0.5154681,0.13269001,0.03167418,0.046612274,0.05460338,0.06472119
g245,Gene45,-0.47318387,0.2838923,-0.022254784,-0.6827102,0.027451064,0.04218458,0.053038035,0.06089601
g246,Gene46,0.27486378,0.31104034,0.3145985,0.26237494,0.028985348,0.040628612,0.05108754,0.060162984
g247,Gene47,0.9099234,0.65832275,-0.7812161,0.079108514,0.034691133,0.04788476,0.06493099,0.075893186
g248,Gene48,-0.6306632,-0.83621234,-0.48504677,0.052574113,0.02889216,0.042511757,0.05414646,0.06448741
g249,Gene49,-0.1302899,0.716561,0.28414157,-0.8638024,0.030028615,0.045599133,0.05683839,0.066936485
g25,Gene25,0.007628535,-0.038765725,-0.9309048,-0.0024333592,0.029887337,0.041668143,0.05521476,0.06536037
g250,Gene50,0.14570805,0.16998821,0.60474426,-0.40944505,0.028926715,0.03980574,0.05077889,0.06319034
g251,Gene51,-0.4955686,0.83332974,0.1389479,0.054601453,0.03232917,0.0509838,0.060371313,0.070390224
g252,Gene52,0.7619912,-0.038936254,-0.9597249,-0.04591391,0.034992263,0.048264023,0.06366985,0.075825945
g253,Gene53,-0.7030367,-0.4928664,0.9468435,0.93027735,0.03311363,0.048900142,0.06802432,0.07897357
g254,Gene54,-0.06123614,0.000851912,0.5796702,-0.006330862,0.032532666,0.04607794,0.057188027,0.06603086
g255,Gene55,0.6596702,0.24419233,0.9599777,0.7068354,0.03149095,0.04384978,0.054196786,0.06657412
g256,Gene56,0.1500992,-0.5167723,0.13119991,0.17076847,0.02918028,0.04508052,0.05642381,0.06767178
g257,Gene57,0.2587488,0.021191332,0.30734876,1.0924356,0.031597897,0.04366693,0.055589933,0.06688414
g258,Gene58,0.6606066,1.1469734,0.8202641,-0.49619782,0.0327323,0.044837616,0.054225866,0.066914186
g259,Gene59,0.12173746,0.13474944,-0.39811417,0.10361361,0.031225836,0.041536562,0.053032864,0.06600226
g26,Gene26,0.058572765,0.060278896,0.046158157,0.06906916,0.029236164,0.039657332,0.051245153,0.06217974
g260,Gene60,0.96465313,0.24404202,0.1742631,0.21666247,0.036395166,0.048624203,0.05884456,0.06756154
g261,Gene61,0.37443703,-0.24768487,-0.34076345,-0.28028417,0.03309268,0.045785088,0.056252204,0.06593454
g262,Gene62,-0.121323764,-0.7815487,-0.13909294,0.2201341,0.030438127,0.046145935,0.058604874,0.06910489
g263,Gene63,-0.1748756,-0.15355062,-0.619534,-0.1481197,0.029573757,0.042420153,0.05456252,0.06529881
g264,Gene64,-0.110250734,-0.057217423,-0.079232015,-0.8617732,0.031978358,0.04288083,0.054444462,0.06524452
g265,Gene65,0.38990146,-0.17335968,-0.6553204,0.8770424,0.032961246,0.046606924,0.05895096,0.07512137
g266,Gene66,-0.016726598,-0.0008191953,-0.033484522,0.7787552,0.028786788,0.041811496,0.0551921,0.065536305
g267,Gene67,-0.045107745,0.18298273,0.46908292,-0.29890102,0.030593758,0.04253658,0.052009627,0.06281045
g268,Gene68,0.014923627,0.045265768,0.0477654,0.019075105,0.028406247,0.040578898,0.0512927,0.061234366
g269,Gene69,-0.5733705,-0.7182529,-0.36735383,0.09385446,0.028006647,0.041515335,0.05382789,0.06471085
g27,Gene27,0.8035492,0.21806276,0.6073027,0.61907566,0.035196103,0.046591964,0.058214094,0.06999016
g270,Gene70,0.56656176,-0.6061629,0.18868065,0.20807578,0.03063033,0.04969371,0.060700797,0.07090198
g271,Gene71,-0.24082384,-0.25916344,-0.567313,-0.27084666,0.030704863,0.044018406,0.05381966,0.06283391
g272,Gene72,-0.80320996,-0.25673258,-0.27505955,-1.218158,0.03203322,0.041461498,0.053503353,0.06389367
g273,Gene73,0.39620388,-0.23169114,-1.0120137,-0.29042944,0.03199747,0.045230776,0.056826204,0.066995084
g274,Gene74,-0.3550538,-1.1962028,-0.34128395,-0.25751963,0.031775758,0.048851926,0.060678415,0.07147819
g275,Gene75,-0.34355515,-0.9248273,-0.34865382,-0.7714302,0.033421766,0.045868695,0.05617079,0.06734455
g276,Gene76,0.7594696,0.30987635,1.052106,0.46172127,0.034539368,0.047774278,0.06187547,0.072661735
g277,Gene77,0.0878637,0.06927816,-0.27691948,1.0706084,0.030971382,0.04145136,0.055033397,0.071110554
g278,Gene78,-0.82442737,0.7912132,-0.02987234,-0.068649784,0.032158412,0.05208211,0.06318397,0.07140644
g279,Gene79,0.23302718,-0.13846354,-0.46431836,-0.32774693,0.029039143,0.041438725,0.053409494,0.06396143
g28,Gene28,0.1373212,0.12998642,0.17307507,-0.56468683,0.030418329,0.043403342,0.05366973,0.06288275
g280,Gene80,0.011477672,-0.465564,-0.06643885,0.045287494,0.031680368,0.046320356,0.055836927,0.06525475
g281,Gene81,0.8294355,0.22706132,0.10413797,-0.04984508,0.035162006,0.04625204,0.056062903,0.06427752
g282,Gene82,0.3042584,0.8925981,0.028894719,-0.4975769,0.029735291,0.041802496,0.05450027,0.06465629
g283,Gene83,0.88621306,0.39803714,1.106551,1.2222625,0.03416334,0.04409718,0.058393545,0.06939974
g284,Gene84,0.019375281,-0.85716736,-0.004643436,0.023439987,0.031719904,0.04751568,0.061725598,0.072239056
g285,Gene85,-0.67634207,-0.13139467,-0.8702177,-0.09666234,0.03046203,0.044444967,0.054773774,0.064269245
g286,Gene86,0.09272511,0.050407037,-0.4805388,-0.18566976,0.030113244,0.039301105,0.049813535,0.06297423
g287,Gene87,0.26622573,-0.5643806,-0.8629336,-0.28187796,0.031929962,0.04552844,0.05710139,0.06920497
g288,Gene88,0.04330647,-0.37097475,0.07176346,0.33268008,0.028524632,0.041553095,0.05382193,0.066224046
g289,Gene89,-0.32170618,-1.066312,0.028512595,-0.28761652,0.032006398,0.047468983,0.060465008,0.070279144
g29,Gene29,-0.7780063,-0.31704473,0.43011662,0.0044130404,0.03521343,0.047400907,0.058795813,0.070377246
g290,Gene90,-0.40950432,0.30212304,-0.3877313,0.6190896,0.032049596,0.04539024,0.056391932,0.067405276
g291,Gene91,-0.6303707,-0.84410554,0.15539531,-0.54025877,0.033068128,0.04282283,0.055786945,0.067518376
g292,Gene92,-0.4640921,0.36319867,0.06612461,0.3578668,0.032859158,0.046844654,0.056013986,0.06819314
g293,Gene93,0.37844115,-0.115747735,0.56501454,0.765525,0.02992243,0.041856624,0.055668484,0.06642832
g294,Gene94,-0.11241181,0.23180991,-0.22020818,0.2412256,0.029961685,0.04263007,0.052658822,0.0628278
g295,Gene95,1.1725295,0.8244223,0.3074585,0.6576222,0.035462763,0.04688169,0.057155553,0.067594305
g296,Gene96,-0.5311759,0.061191317,0.092388615,-0.7754134,0.027133996,0.03875263,0.04930424,0.05841453
g297,Gene97,0.006952623,-1.1832278,-0.36652395,-0.57336605,0.031432495,0.047548156,0.060395785,0.06964679
g298,Gene98,0.12952384,0.1026712,0.12135369,0.08592216,0.030683309,0.044466887,0.05418549,0.063424535
g299,Gene99,0.28893325,0.27044135,-0.6276373,0.24929403,0.02921974,0.04178322,0.053753316,0.06622129
g3,Gene3,-0.11794404,0.35634825,-0.6275947,-0.1898511,0.029717233,0.04338532,0.055540655,0.065941736
g30,Gene30,0.24026927,-0.09882098,0.21763253,0.20995829,0.032255802,0.044301808,0.055271555,0.06596914
g300,Gene100,0.01687713,0.01402916,-0.0025637923,-0.0116706705,0.028628927,0.04079246,0.052770928,0.06452302
g301,Gene1,0.08032883,0.069335036,0.04195056,0.0754616,0.028285636,0.041700017,0.052225173,0.06467778
g302,Gene2,-0.0062056803,-0.5105661,-0.014588112,-0.018677872,0.02930911,0.040988203,0.05184714,0.060261242
g303,Gene3,0.2229581,0.6972502,-0.2866924,0.15105104,0.02874766,0.042060312,0.054066796,0.064240545
g304,Gene4,0.12211291,0.9834543,0.111596115,-0.78271097,0.029338624,0.04079174,0.05307079,0.0631458
g305,Gene5,-0.36229512,-0.16187239,-0.14057657,-0.11363857,0.030382978,0.042326573,0.055226076,0.06453999
g306,Gene6,0.7135026,0.40770352,0.7735376,0.3273769,0.032276195,0.045034196,0.057293087,0.06861049
g307,Gene7,-0.32536656,0.31413543,0.0766047,-0.6897567,0.026945258,0.038544357,0.047049638,0.057612773
g308,Gene8,-0.49461812,0.6403199,-0.5110779,0.03150592,0.031979088,0.04782344,0.061179414,0.0694433
g309,Gene9,0.8354186,-0.32354018,0.16827793,0.15255839,0.03174323,0.04946375,0.05904523,0.06853221
g31,Gene31,0.9447954,0.9953012,-0.22209302,-0.44572857,0.03263192,0.04571376,0.05973272,0.068205744
g310,Gene10,0.2447019,0.4101631,-0.34079286,0.22411811,0.027097333,0.04026532,0.053607836,0.06519517
g311,Gene11,-0.61880344,0.1304839,0.6788808,0.13047762,0.031157348,0.04584877,0.055396833,0.06683331
g312,Gene12,-0.33065808,0.080381304,-0.7663588,0.15334544,0.02991568,0.044005882,0.05680377,0.06940382
