guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3,postmean_d0,lfsr_d0,postmean_d1,lfsr_d1,postmean_d2,lfsr_d2,postmean_d3,lfsr_d3,lfsr_min,best_day
g114,Gene14,0.14559507,0.15942977,0.19079715,0.14206451,0.020393066,0.02661809,0.034750987,0.041944798,0.1572210640117,4.81988463835345e-16,0.157228417071625,7.40976117293382e-12,0.157245543618489,1.95230732413923e-11,0.157218201199744,2.18715254990029e-07,4.81988463835345e-16,0
g115,Gene15,0.14188984,-0.39139497,0.82015526,-0.3401035,0.021390459,0.030460779,0.045127295,0.057492368,0.141917027552604,1.40152920232864e-11,-0.389034987355511,0,0.817136390457465,8.8223141515019e-75,-0.337967861198842,1.24512589128045e-09,0,1
g116,Gene16,0.11125838,0.0811538,0.099037856,0.75502676,0.021299487,0.02855116,0.03661018,0.047606427,0.108516242987362,0.00012440851732764,0.0775296883938974,0.00331738393144884,0.0932566238565455,0.0053092507672102,0.740842130551275,6.29623595269347e-56,6.29623595269347e-56,3
g117,Gene17,0.22989109,0.14902277,0.11833708,0.1696377,0.020122122,0.02770429,0.035463795,0.043254156,0.20339257039653,2.37781856588819e-28,0.19677201989586,8.69592252179408e-07,0.194258761772912,3.72161874978356e-05,0.198363357092576,4.77991755184338e-06,2.37781856588819e-28,0
g118,Gene18,-0.35734147,-0.30004683,0.367638,-0.38885728,0.021065764,0.028856942,0.038124435,0.04790875,-0.355777702621934,0,-0.298696159380627,0,0.36608184886218,2.29418334488566e-22,-0.386268377145693,1.11022302462516e-16,0,0
g119,Gene19,0.02838786,-0.050051004,-0.0100039365,-1.33964795e-05,0.021014811,0.029149167,0.03686952,0.044779953,0.0107732458964216,0.478095442776041,-0.00931715335193852,0.539054675573303,0.00487173222547495,0.662361367987427,0.00485114287155913,0.66188833174516,0.478095442776041,0
g12,Gene12,-0.1035838,-0.13124979,-0.09551842,-0.14192528,0.022155292,0.029181452,0.035901394,0.043182213,-0.100199757665679,1.03553218000485e-06,-0.100222948855058,4.66671277521424e-06,-0.100191951402592,9.14418589748056e-06,-0.100231267992276,6.01637478769845e-06,1.03553218000485e-06,0
g120,Gene20,-0.12080959,-0.11044742,-0.07446958,-0.10648365,0.019634886,0.0275788,0.03543988,0.04402988,-0.111790058070867,3.74001940528501e-10,-0.11178385598241,1.36664258005847e-05,-0.111766609492645,2.24432013297138e-05,-0.111781613377967,1.75451956515582e-05,3.74001940528501e-10,0
g121,Gene21,0.30786666,0.34485143,0.31550312,0.30895096,0.019486962,0.027070995,0.033716172,0.040153407,0.314220998109188,1.95466971154634e-59,0.314247354993494,1.21840000812182e-39,0.314225445082017,4.31440985600175e-24,0.314219964626581,7.45847846050998e-18,1.95466971154634e-59,0
g122,Gene22,0.18554302,0.60477746,0.19154698,0.112237394,0.021400621,0.030500453,0.039866228,0.047607128,0.184751567131783,2.48110674177493e-18,0.600516442565525,1.69885570516143e-87,0.189311078102427,8.71862503670261e-07,0.110479531565651,0.00965192698066677,1.69885570516143e-87,1
g123,Gene23,-0.42920467,0.054087304,0.17529105,0.13049908,0.022154307,0.031923,0.03895612,0.04682082,-0.428408167256314,1.11022302462516e-16,0.0516381845148097,0.053396361197758,0.170236570800155,0.00197649169927811,0.12574676828467,0.00525986657690311,1.11022302462516e-16,0
g124,Gene24,0.40987763,0.38831836,0.44994265,0.43623564,0.021141276,0.02914029,0.03688383,0.044124894,0.405975842301821,2.49402194982973e-86,0.405926413340393,3.81293552738702e-43,0.406057363384935,6.50355913949375e-37,0.406024482886245,9.66961312063174e-26,2.49402194982973e-86,0
g125,Gene25,-0.10668478,-0.049341165,-0.086778395,-0.08674253,0.021166764,0.0289738,0.036686018,0.042760525,-0.0939174125965574,9.30012880706599e-07,-0.0932471948086551,0.00725512642611992,-0.0933219086433606,0.00718209767708378,-0.0933210017847368,0.00720809104225484,9.30012880706599e-07,0
g126,Gene26,0.15682611,0.15514177,0.16726805,0.20747602,0.020265931,0.026873792,0.034558643,0.04238158,0.148551872468382,1.84054248848387e-16,0.148550583716903,9.5534133004551e-11,0.148557110733707,5.25852726313675e-10,0.148579267373129,4.29656196151371e-10,1.84054248848387e-16,0
g127,Gene27,0.18073948,0.18329063,0.21056348,0.13980797,0.022450227,0.027826928,0.035012543,0.042360548,0.193636865639962,7.05276471177368e-19,0.193639591091349,9.09892275141686e-14,0.193677354375521,1.51681477512288e-12,0.193577178510928,7.52769301112034e-07,7.05276471177368e-19,0
g128,Gene28,-0.16557953,-0.17100026,-0.15329319,-0.14964844,0.022204865,0.029875923,0.036640443,0.044109013,-0.165414241855537,4.44089209850063e-16,-0.165415611792415,3.50436679674715e-10,-0.165410419152664,4.93244034505125e-09,-0.165409171680163,1.11248344980552e-07,4.44089209850063e-16,0
g129,Gene29,0.16842647,0.15692717,0.1827994,0.14256068,0.0212399,0.029297397,0.036441203,0.045255005,0.172515365952752,5.31754933718079e-18,0.172509557131532,2.63304238345247e-10,0.172521677676687,3.81016422291258e-10,0.172502190398596,4.29290548744237e-07,5.31754933718079e-18,0
g13,Gene13,0.2017715,0.18264808,0.17875962,0.1705352,0.019354764,0.026795428,0.033909697,0.043574657,0.19774204632927,2.58982624704048e-28,0.197735678207617,1.16256786985538e-13,0.197734311309151,2.45841149879328e-11,0.19773138575871,1.64242993499531e-08,2.58982624704048e-28,0
g130,Gene30,0.17615741,0.17990766,0.20671947,0.17549795,0.022047196,0.029504146,0.03732735,0.045514442,0.181908370181103,8.09409605673148e-19,0.181909481977243,2.45491115518666e-12,0.18191936152235,9.05617079878529e-12,0.181907289165915,2.52468821166365e-08,8.09409605673148e-19,0
