guide,gene,betahat_d0,betahat_d1,betahat_d2,betahat_d3,se_d0,se_d1,se_d2,se_d3
g23,Gene23,-0.7910373,-0.30774483,-0.18654099,-0.23133302,0.023028733,0.03166188,0.038355842,0.04618401
g230,Gene30,-0.13338615,-0.12963597,-0.102824256,-0.13404575,0.020349631,0.029330995,0.037164547,0.04535439
g231,Gene31,-0.23703824,-0.23231605,-0.2292231,-0.20482573,0.02140996,0.02847974,0.035263523,0.043535132
g232,Gene32,0.07674012,0.076361634,0.13150766,0.53784394,0.021385133,0.027427103,0.034256727,0.04313531
g233,Gene33,0.17930841,0.20451148,0.17504571,0.13108955,0.019694824,0.026670648,0.034695905,0.04133251
g234,Gene34,-0.09905771,-0.123618096,-0.5622774,-0.102317125,0.01902079,0.026023239,0.03556396,0.04520222
g235,Gene35,0.19658282,0.18970932,0.19691814,0.18057077,0.020556515,0.028574906,0.035143055,0.043910243
g236,Gene36,0.218727,0.24015474,0.19237189,-0.04130738,0.0198342,0.026405077,0.034241714,0.041548293
g237,Gene37,0.5910217,0.88600546,0.5315101,0.5237396,0.021767631,0.029747427,0.038702935,0.04264516
g238,Gene38,-0.1039369,-0.14438476,-0.18589506,-0.13257216,0.019772802,0.027080722,0.033724252,0.041093957
g239,Gene39,0.0033827687,0.04660204,0.07249138,0.04238789,0.02212481,0.029590406,0.03911625,0.045805857
g24,Gene24,0.13498993,0.11343115,0.17505495,0.16134809,0.01999227,0.029084701,0.03706783,0.044501938
g240,Gene40,0.3266175,0.31149358,0.3029053,0.33787775,0.023157684,0.029993853,0.036402665,0.04387041
g241,Gene41,0.25472638,0.32211328,0.35178846,0.335309,0.020518335,0.028322384,0.035717577,0.044781134
g242,Gene42,-0.19837204,-0.18196198,-0.17712003,-0.18202347,0.021022681,0.028180478,0.036385246,0.044462927
g243,Gene43,0.1359696,0.10282624,0.1559494,0.10929941,0.021228373,0.027217295,0.034228865,0.04095371
g244,Gene44,0.1409472,0.14973438,0.3746221,0.14502713,0.021028273,0.028495038,0.0344303,0.04215081
g245,Gene45,0.19536898,0.21565397,0.1979287,0.20098582,0.019322779,0.026459513,0.03377209,0.03988674
g246,Gene46,0.23631845,-0.5154652,0.2323165,0.2901918,0.021091407,0.03416071,0.04183989,0.049758926
g247,Gene47,0.1157929,0.53894037,0.09637918,0.077634744,0.021008901,0.030862056,0.039914593,0.04647751
g248,Gene48,-0.0821294,-0.10756092,-0.124679245,-0.086022384,0.018908052,0.026292076,0.03330724,0.041029237
g249,Gene49,0.39428365,0.13878325,0.08912091,0.08130607,0.021120463,0.0288581,0.03589005,0.042855915
g25,Gene25,0.0067421705,0.06408586,0.026648553,0.02668451,0.021201352,0.027889943,0.035556022,0.041528247
g250,Gene50,0.067359425,0.07194489,0.112805896,0.08110254,0.019339943,0.025781658,0.033140507,0.042796955
g251,Gene51,0.04907944,-0.012622017,-0.8119643,0.0584394,0.021493472,0.028755464,0.039447628,0.04933385
g252,Gene52,-0.12882787,0.39046776,-0.23617867,0.312759,0.022928447,0.032182887,0.043870162,0.052943002
g253,Gene53,0.12701671,0.16915745,0.15460059,0.18865187,0.020616714,0.02802411,0.03771866,0.045547064
g254,Gene54,-0.28934214,-0.335668,-0.35243294,-0.34816065,0.02251996,0.029550951,0.03650308,0.04274566
g255,Gene55,0.19981733,0.1804966,0.13536783,0.15940887,0.019420614,0.026214475,0.03269147,0.04218125
g256,Gene56,-0.19114912,-0.14944905,-0.17060584,-0.18953872,0.020499581,0.02863864,0.035362102,0.043176327
g257,Gene57,0.018272422,-0.016175373,-0.0035945305,-0.003961093,0.0195162,0.026704118,0.03430252,0.04175427
g258,Gene58,-0.07690664,-0.08442498,-0.092710495,-0.08085568,0.021817427,0.028466009,0.03626547,0.044201452
g259,Gene59,0.22046736,0.21433236,0.2611989,0.26482853,0.021062434,0.027471742,0.035257317,0.045005143
g26,Gene26,-0.09870905,-0.10039355,-0.088267036,-0.04805927,0.021295719,0.028173646,0.035258505,0.04347068
g260,Gene60,-0.21904923,0.23575784,0.32784325,0.31399626,0.02217548,0.029856341,0.036625784,0.043394335
g261,Gene61,0.057405747,0.060749486,0.02832388,0.026188992,0.020044902,0.026602173,0.034025438,0.040863406
g262,Gene62,0.026809463,-0.022971839,0.04614239,0.056434512,0.020866593,0.028694713,0.03697261,0.04463785
g263,Gene63,0.13067052,-0.15040673,-0.10809059,-0.11994669,0.021171208,0.029933436,0.037439954,0.045265324
g264,Gene64,0.14351459,0.18395133,0.12351698,0.15564989,0.020937128,0.028063854,0.035452925,0.043620452
g265,Gene65,0.11547363,0.14070554,0.14538212,0.11679553,0.021896288,0.028483462,0.035693604,0.043355916
g266,Gene66,-0.29571453,-0.28915787,-0.27244028,-0.24806355,0.01823019,0.025899326,0.03412462,0.04104239
g267,Gene67,-0.033376284,-0.04351006,-0.037204683,-0.011563884,0.020627882,0.027657133,0.034288585,0.041346844
g268,Gene68,-0.60712844,-0.007125813,0.100408554,0.12812062,0.023684204,0.03330859,0.039612666,0.047650244
g269,Gene69,0.3901637,0.37383378,0.43001404,0.3885747,0.021044768,0.028138027,0.03566924,0.0429329
g27,Gene27,0.30163342,0.3041845,0.3314574,0.26070225,0.021235598,0.026325341,0.03360344,0.041979507
g270,Gene70,-0.15827018,-0.70908475,-0.15535328,-0.08063819,0.019935012,0.03131298,0.039400533,0.046825573
g271,Gene71,-0.023428524,-0.06342592,-0.71135795,0.8149751,0.022279922,0.030913359,0.041335385,0.056439154
g272,Gene72,0.41940832,0.046299417,-0.08255423,-0.060604006,0.023252048,0.030329455,0.037164602,0.044574823
g273,Gene73,-0.062304053,-0.05280181,-0.019227784,-0.057066057,0.020577788,0.027835349,0.034829494,0.042682234
g274,Gene74,0.24327083,-0.34570178,0.3631309,0.36984792,0.02106049,0.032554384,0.041112736,0.048163895
g275,Gene75,-0.016612802,-0.0939292,-0.9950776,0.15846609,0.022721283,0.030370135,0.043162838,0.057633843
g276,Gene76,0.11438625,0.099562995,0.014848339,0.073091775,0.02031581,0.027888482,0.036763024,0.045342907
g277,Gene77,-0.21724129,-0.24077448,-0.2297111,-0.24205147,0.019256977,0.0261027,0.03419981,0.04323827
g278,Gene78,-0.056752566,-0.05544496,-0.0748819,-0.066381484,0.019283785,0.02737551,0.03601968,0.044402607
g279,Gene79,0.5667615,0.07379076,-0.029988814,0.64088804,0.024748791,0.034144077,0.042785637,0.052738205
g28,Gene28,-0.222998,-0.22841838,-0.21071167,-0.20706685,0.022205703,0.030092444,0.036837712,0.04453865
g280,Gene80,0.037800267,0.09500442,0.05448143,0.057085507,0.02003503,0.027409256,0.033339694,0.040719755
g281,Gene81,0.2801495,0.30618894,0.3107025,0.29999155,0.022283256,0.028325813,0.03527732,0.042024683
g282,Gene82,0.096440054,0.11339206,0.118807785,0.15199465,0.019743424,0.027006606,0.03511784,0.043864284
g283,Gene83,-0.28836888,-0.24211366,-0.21145162,-0.24630028,0.02089665,0.025894346,0.034113962,0.04231402
g284,Gene84,0.15642859,0.46501252,0.13336149,0.08755765,0.020878807,0.030827114,0.039133165,0.046951633
g285,Gene85,0.27740297,0.27163848,0.23588069,0.25430423,0.020382028,0.027959596,0.03528104,0.043203417
g286,Gene86,0.13549016,0.13866906,0.120001785,0.15453364,0.019893551,0.02569133,0.03262482,0.04366693
g287,Gene87,-0.16602352,-0.20535003,-0.1762398,-0.15277852,0.019336848,0.026594946,0.034008294,0.041789643
g288,Gene88,0.03889841,0.04022156,0.0409531,0.04561177,0.019778427,0.02744908,0.03469673,0.04407015
g289,Gene89,0.10322147,0.15007804,0.12945344,0.09418147,0.018811809,0.027742745,0.03510741,0.042847976
g29,Gene29,-0.2220726,-0.23357208,-0.20769967,-0.24793844,0.022337258,0.029835004,0.0364345,0.04523702
g290,Gene90,0.09875354,0.154397,0.11583184,0.1127097,0.019166635,0.027095983,0.033770327,0.040401056
g291,Gene91,0.19536044,0.16639388,0.16726416,0.13985322,0.01956604,0.025826138,0.033167917,0.042595793
g292,Gene92,-0.34464207,-0.31452614,0.35685518,-0.32080078,0.022092102,0.030257868,0.039726976,0.05035047
g293,Gene93,0.33056462,0.36998206,0.3360132,0.3293722,0.01973159,0.026400877,0.03495746,0.042438377
g294,Gene94,-0.12628019,-0.11997149,-0.14847139,-0.13017622,0.020967865,0.028317345,0.034543183,0.041744996
g295,Gene95,0.11558989,0.14888744,0.20289169,0.14273976,0.019574951,0.026757652,0.03398464,0.040998567
g296,Gene96,0.039302923,-0.004240955,-0.9439311,-0.041322738,0.019244483,0.027021611,0.039746225,0.05094753
g297,Gene97,-0.08868498,-0.0862027,-0.05710875,-0.063839234,0.01995887,0.02756538,0.034763087,0.04255969
g298,Gene98,0.019509768,0.10498385,0.06313065,0.062887594,0.020744318,0.028812336,0.034828395,0.04182014
g299,Gene99,-0.12192978,-0.073617496,-0.069794826,-0.0441732,0.020630289,0.028092746,0.036162086,0.044731
g3,Gene3,0.025800008,-0.34568503,0.043645833,0.87292236,0.021697674,0.03096843,0.03927456,0.05184628
g30,Gene30,-0.24099205,-0.23724198,-0.2104301,-0.24165162,0.0214967,0.028550785,0.036871016,0.044977665
g300,Gene100,0.17473899,0.1141932,0.18401973,0.18329282,0.019688232,0.027161565,0.03474101,0.04331623
g301,Gene1,0.26833293,0.2795231,0.27221528,0.3015345,0.019734398,0.028057968,0.035603654,0.044649627
g302,Gene2,-0.3206424,-0.28103444,0.31063598,-0.27413043,0.021796858,0.028508134,0.036995698,0.04458977
g303,Gene3,-0.463278,-0.8347631,-0.44543234,0.3838442,0.022496399,0.03126074,0.03900519,0.05137093
g304,Gene4,-0.05703686,-0.061178807,-0.03346539,-0.06608151,0.020721478,0.027435996,0.034827664,0.041930176
g305,Gene5,-0.05855649,-0.078775056,-0.0751959,-0.09856469,0.020741751,0.02901371,0.038428307,0.046390787
g306,Gene6,-0.023366107,-0.062319174,-0.06731366,-0.018708725,0.019520186,0.027566107,0.03551795,0.043326072
g307,Gene7,0.14732413,0.1591281,0.17012154,-0.25372136,0.01962845,0.02497338,0.030996358,0.038474552
g308,Gene8,0.11136374,0.06816989,0.06678199,0.11526641,0.020584946,0.029715206,0.036901355,0.04441169
g309,Gene9,0.46906167,0.2745618,0.17198686,0.27473727,0.02150072,0.029805327,0.03709307,0.044278633
g31,Gene31,0.23944636,0.24416856,0.24726132,0.27165875,0.020831596,0.028010491,0.035767637,0.04380059
g310,Gene10,0.6297105,0.014193398,-0.21359818,-0.08508329,0.02551255,0.03522208,0.04311903,0.05108655
g311,Gene11,-1.2077463,-0.53806895,-0.43253177,-0.45337537,0.027079636,0.036846448,0.042335775,0.04897125
g312,Gene12,0.21548937,0.18782353,0.22355475,0.17714812,0.020217255,0.02812495,0.03493591,0.042419054
g313,Gene13,-0.00034926864,-0.019472642,-0.0233612,-0.031585567,0.020514835,0.028102055,0.03424639,0.04377234
